qqr_latin	qqr_kirill	ruscha
demokratiyalıq	демократиялық	демократйческий; демократиялык, право демократйческие права; демокра
TIYALIQ	ТИЯЛЫҚ	турмыс тури демократйческий образ - жйзни; халық
sawlıqsız	саўлықсыз	а) нездорбвье, бо
deputatlıq	депутатлық	положение депу - тата; / депутатский; депутатлық
desiw	десиў	и. д. от дес- - сговор
despotlıq	деспотлық	деспотический
decentralizaciyalaw	децентрализациялаў	децентра - лизация; аппаратты децентрализациялау децентрализация ап
dialektikalıq	диалектикалық	диалектиче - ский; диалектикалық материа
dialektologiyalıq	диалектологиялық	диалектоло - гический; диалектологиялык жумыслар диалектологические ра
diversiyalıq	диверсиялық	диверсионный;
raqǵı	рақғы	үйдс қабан гүркирейди
didaktikalıq	дидактикалық	дидактический;
KÓZ	КӨЗ	карауын қоймайды, кеўил
diydarǵa	дийдарға	тоймайды фольк. г лаза
diydarlasıw	дийдарласыў	и. д. от дийдар
diydilew	дийдилеў	и. д. от дийдиле
diywalla-	дийўалла-	огораживать (напр
diywallat-	дийўаллат-	понуд. о т дийўаллазаставить - огородить (напр. за б о
diywallaw	дийўаллаў	и. д. от - дийўаллаогораживание (напр. за бо
diywallı	дийўаллы	1) с забором, с огра
diywan	дийўан	I уст . ханский чинов
diywana	дийўана	нищий, попрошайка
diywanalıq	дийўаналық	см. дийўанашыЛЫҚ. - дийўанашылык, нйщенство, по
diywan-begi	дийўан-беги	уст . диваи-бегй
diyxanshılıq	дийханшылық	1) крестьян
dikildew	дикилдеў	и. д. от дикилде
diktatorlıq	диктаторлық	диктаторство; /
dildarlıq	дилдарлық	красноречие; крас
dilmashlıq	дилмашлық	профессия, заня
dilwar	дилўар	см. - дилбар II
dıq	дық	динамикасы динамика со
diqgek	диқгек	1) возвышение; высо
diplomatlıq	дипломатлық	диплпматйческий; дипломатлық қатнас динломатйческие отношения
diplomatshılıq	дипломатшылық	1) дипломатия;
direktorlıq	директорлық	директорский
dirijyorlıq	дирижёрлық	дирижёрство; / ди
dislokaciyalıq	дислокациялық	дислокацион
óz-ara	өз-ара	жәрдемлесиў договоры до
doǵalaq	доғалақ	катушка
doǵanaq	доғанақ	1) рогатка; 2) катушка
dodaq	додақ	нйжняя (расплет енная)
dozaq	дозақ	1) рел. ад; 2) перен. мука
dozaqı	дозақы	рел. - 1) человек, ко
doynaq	дойнақ	копыто; атлардыц дойнақсеслери звук конских копыт
doktorlıq	докторлық	1) занятие, специ
qorǵau	қорғау	защйта диссертации на
qórset-	қөрсет-	предъявлять документы
DOLLILIQ	ДОЛЛЫЛЫҚ	1) упрямство; 2)
domalaǵısh	домалағыш	предмет, способный
domalaq	домалақ	круглый, шарообраз
domalaqla-	домалақла-	округлять, закруг
domalaqlaw	домалақлаў	1) и. д. от дома
laqla-	лақла-	округление, закругле
dombıqtır-	домбықтыр-	1) слегка моро
dombıqtırıw	домбықтырыў	и. д. от дом- - бықтыр- - 1) подмораживание;
DOSLIQ	ДОСЛЫҚ	дружба, дружествен
DOSTIYANLIQ	ДОСТИЯНЛЫҚ	см. ДОСЛЫҚ
DOSTLIQ	ДОСТЛЫҚ	см. ДОСЛЫҚ
dógerek	дөгерек	1) окружность, круг;
dógerektiq	дөгеректиқ	терт буршы четыре
decgeletiw	децгелетиў	и. д. от децгелет
dócli	дөцли	холмистый, бугристый
DÓQLIK	ДӨҚЛИК	см. ДӨҚИСЛИК
dórel-	дөрел-	ст - рад, от дере- поя
dórelkw	дөрелкў	и. д. от дерел- поя - вление; рождение (напр. чело
dóretiw	дөретиў	и. д. от дерет- созда
dóretiwshi	дөретиўши	создатель, творец;
derew	дереў	и. д. о т дере- - появление
lanıwı	ланыўы	драматйческий исход со
dramaturgiyalıq	драматургиялық	драматурги
duzaq	дузақ	силок; западня; дузақ
duzaqshı	дузақшы	охотник, занимаю
duzaqshılıq	дузақшылық	охота с помощью
duzlatıw	дузлатыў	и. д. от дузлат
duzlaw	дузлаў	и. д. от дузла- соле - ние, засол
duzlıq	дузлық	рассол
dumalaq	думалақ	см. домалақ
durıslıq	дурыслық	1) прави.1ьность;
DUW	ДУЎ	I место избавления от пре
duwı-sıyına	дуўы-сыйына	қаратпастан не
duwaǵey	дуўағей	см. дуўахан
duwagóylik	дуўагөйлик	см. дуўаханлық
duwala-	дуўала-	уст. - заговаривать
duwalaq	дуўалақ	зоол. - дрофа
duwalat-	дуўалат-	понуд. от дуўалазаставить - заговаривать (напр
duwalaw	дуўалаў	и. д. от дуўала- заго - вор {напр. воды для лечения)
duwalı	дуўалы	1) имеющий талисман;
duwasız	дуўасыз	1) не имеющий талис
duwaxan	дуўахан	уст. - знахарь; кол
duwaxanlıq	дуўаханлық	уст. - знахарство;
duwqat	дуўқат	халат особого - покроя
duwla-	дуўла-	шуметь, галдеть
duwlaw	дуўлаў	и. д. от дуўла- - шум
duwrama	дуўрама	см. туўрама. - дуўры - 1) прямой; / прямо; дуў
duwtar	дуўтар	дутар (двухструнный
duwtarshı	дуўтаршы	дутарйст (музыкант
duwshaker	дуўшакер	встречный
duwshakerles-	дуўшакерлес-	встречаться с
duwshakerlesiw	дуўшакерлесиў	и. д- от дуўшакерлес- встреча с. кем-чем-л
duwshakerlestir-	дуўшакерлестир-	пднуд. от
duwshakerlik	дуўшакерлик	встреча
duwshar	дуўшар	встреча; / встречный;
oqqa	оққа	дуўшар бол- попасть под - пулю; <}■ бэлеметке дуўшар қылразг. наслать несчастье
duwsharla-	дуўшарла-	встречать - кого-что
duwsharlas-	дуўшарлас-	взаимн. от дуўшарла- встречаться с кем-чем-л
duwsharlasıw	дуўшарласыў	и. д. от дуўшарлас- встреча
duwsharlat-	дуўшарлат-	понуд. от дуўшарла- заставить встретить - кого
duwsharlaw	дуўшарлаў	и. д. от дуўшарлавстрёча с кем-чем-л
duwılda-	дуўылда-	шуметь, гомонить
duwıldas-	дуўылдас-	взаимн. от - дуўылда-. ^
duwıldat-	дуўылдат-	понуд. от дуўылдавызвать - шум, гомон, оживлён
duwıldaw	дуўылдаў	и. д. от - дуўылдашум, гомон, оживлённый раз
dushpanlıq	душпанлық	вражда, враждеб
dushpanshılıq	душпаншылық	см. душпанлық
dubirlew	дубирлеў	и. д. от - дубирлетбпот; стук; шум
dugisiw	дугисиў	и. д. от - дугис- - 1) би
QILIǴI	ҚЫЛЫҒЫ	дузде погов. дочь моя - дома, а о прведёнии её знают на
duzelkw	дузелкў	и. д. от дузел
duziw	дузиў	1 1) прямой, стройный;
duziwle-	дузиўле-	1) выпрямлять, вы
duziwlen-	дузиўлен-	возвр. -страд, от
dúziwle-	дүзиўле-	1) выпрямляться, выра
duziwlik	дузиўлик	правильность
-awqat	-аўқат	дукәни продовольствен
qur-	қур-	а) вестй беседу; б) точйть
dúkánshi	дүкәнши	продавец
dúkánshiliq	дүкәншилиқ	занятие продав
dúkárt	дүкәрт	маленькие ножницы
dúk-dúk	дүк-дүк	см. дүп-дүп
dúkilde-	дүкилде-	1) стучать, бйться
dúkildet-	дүкилдет-	понуд. - от дүкилде- - 1) вызвать сердцебиение; 2)
dúkildew	дүкилдеў	и. д. - от дүкилде- - 1) сердцебиение; 2) хлопанье
dúkildi	дүкилди	1) сердцебиение; 2) хло
dúm	дүм	уст. - хвост; <0> мылтықтыц
dúmi	дүми	приклад ружья. - думбил I грохот, гул, шум
dumpeyiw	думпейиў	и. д. от думпей
wanat	ўанат	дуньясы животный - мир;
dun'yaǵa	дуньяға	кез қарас мировоззре - ние; дуньяға марксистлик кез
qaras	қарас	марксистское мировоззре
dun'yalıq	дуньялық	мировой; дуньялық
dun'yapazlıq	дуньяпазлық	см. дуньяхорлық. - дуньясыз - 1) бедный, неимущий;
dun'yaxorlıq	дуньяхорлық	корыстолюбие
dun'yashıllıq	дуньяшыллық	см. дуньяхорЛЫҚ
dúnkildew	дүнкилдеў	и. д. от дуцкилде
dustómen	дустөмен	ничкб.м, вниз лицом;
dustómenine	дустөменине	жығыл- упасть вниз - лнцбм; дустөменинен жатқыздым я положил его вниз лицом
dustómenle-	дустөменле-	ложиться - ничком
qalıc	қалыц	дут тоғай непроходймып - лес, дремучий лес
dıǵırt	дығырт	звукоподражание гро
dızıldawıq	дызылдаўық	шмель
DIQ	ДЫҚ	неприятный - осадок, не
dıqqatlaw	дыққатлаў	и. д. от дыққатла
dıqqatlı	дыққатлы	внимательный
dıqqatlıq	дыққатлық	внимательность
dıcǵır	дыцғыр	звукоподражание звону
dıcǵırla-	дыцғырла-	звенеть (о падаю
dıcǵırlat-	дыцғырлат-	понуд. от дьщғырла
dıcǵırlaw	дыцғырлаў	и. д. от - дыцғырлазвон {падающего металлического
dırrıqlıq	дыррықлық	1) хвастовство;
dırıldaw	дырылдаў	и. д. от дырылдадребезжание
ayaqtı	аяқты	ебелеклеп - бас- а) семенить
ebin-awlaq	ебин-аўлақ	понемногу; ебин
-awlaq	-аўлақ	пахта тердим я понемногу
qaldır-	қалдыр-	оставить немного от - обеда; ебиндей ғана только не
ebin-jorıq	ебин-жорық	понемногу, по
evropalıq	европалық	европейский
egeliw	егелиў	и. д. от егел- - пилка
egesiw	егесиў	и. д. от - егес- - 1) оказа
egew	егеў	1) и. д. от еге- пйлка
egewle-	егеўле-	I) пилйть, подпйливать
egewlet-	егеўлет-	понуд. от - егеўле- - 1) заставить пилйть, подпйли
egewlew	егеўлеў	и. д. от - егеўле- I) пйл
qızlar	қызлар	сёстры-близнецы; егид
qozıday	қозыдай	(похожи) как близ
egizlew	егизлеў	и. д. от егизле- сдваи
egiw	егиў	и. д. от ек- сев - чего-л.\
egiwli	егиўли	засеянный; егиўли жер
egiwsiz	егиўсиз	незасеянный; егиўсиз
partaw	партаў	жер невозделанная за
edireyiw	едирейиў	и. д. от едирей
edireytiw	едирейтиў	и. д. от едирейт
ejelew	ежелеў	и. д. от - ежеле- - 1) чте
ejireyiw	ежирейиў	и. д. от ежирей
ejireclew	ежирецлеў	и. д. от ежиренлепреслёдование кого-л. взглядом. - ез- - 1) мять, сминать; 2) да
sóylegen	сөйлеген	езбе - болар, көп қыдыр
eziliw	езилиў	и. д. от - езил- - 1) смя
ezúw	езүў	углы - рта; езүуи уўылды
tolıq	толық	биледи екен о - том, что я
MÁLIM	МӘЛИМ	болды теперь выяснилось
tabaq	табақ	тартты пищу давали на
ekew-ekew	екеў-екеў	попарно, по два
ekewi	екеўи	оба; бул иске екеўи де
qatnasqan	қатнасқан	в этом деле оба заме
ekewle-	екеўле-	делать что-л. - вдвоём;
ekewlep	екеўлеп	исле- работать - вдвоём
ekewlew	екеўлеў	и. д. от екеўле
jaqlılıq	жақлылық	двурушничество; еки
SÓZLI	СӨЗЛИ	а) не держащий своего
SÓZIN	СӨЗИН	еки кылмайды он твёрдо
ektiriw	ектириў	и. д. от ектир- посев - чего-л.-, посадка
eksheliw	екшелиў	и. д. от - екшелотсёв; отбор
ekshew	екшеў	и. д. от екше- - отсев; отбор
qılmaǵa	қылмаға	он - прибыл,чтобы примирйть (их); сен маған елмисец
elatlıq	елатлық	населённый; елатлык
eleniw	елениў	I и. д. от елен
elenlew	еленлеў	и. д. от еленле
elesletiw	елеслетиў	и. д. от елеслетвьгзьгвание в памяти чего-л
eleslew	елеслеў	и. д. от - елесле- - 1)
elewrew	елеўреў	и. д. от елеўре-. - елеўсиз - 1) незаметный, не при
elewsizlik	елеўсизлик	невнимательность;
elewshi	елеўши	тот, кто просеивает
eljirew	елжиреў	и. д. от елжире-. - ели I мера длины (равная ши-_
elik-aǵası	елик-ағасы	уст. - элик-агасы
eliklew	еликлеў	и. д. от еликле- под
eliklewshi	еликлеўши	подражатель, ими
eliktiriw	еликтириў	лингв, ассимиляция;
eliriw	елириў	и. д. от елир- состоя
elirtiw	елиртиў	и. д. от елирт- состо
eliw	елиў	см. - елли II
eliwinshi	елиўинши	см. еллинши
ellyosiw	еллёсиў	1) и. д. от еллес- при
ellesuiriw	еллесуириў	и. д. от еллестирпримирёние. - елли I населённый; елли жер
emiw	емиў	и. д. от - ем- - 1) сосание;
emiwshi	емиўши	сосущий; / сосун, со
emleniw	емлениў	и. д. от емлен- ле
emletiw	емлетиў	и. д. от емлет- лече
emlew	емлеў	и. д. от емле- лечение. - емл — 192
emlewxana	емлеўхана	лечебница
emlewshi	емлеўши	1) лекарь; 2) врач
empenlew	емпенлеў	и. д. от емпенле-. - емшек - 1) сосок; 2) женская
endiriw	ендириў	и. д. от ендир- вве - дение, внедрение; жана техниканы ендириў внедрение новой
endirtiw	ендиртиў	и. д. от - ендиртвведёние, вкедрёние
enjarlıq	енжарлық	1) нерешйтельность;
eniw	ениў	и. д. от - ен- - 1) введёние
eiiwshi	еииўши	1) входящий, внедря
enteclew	ентецлеў	и. д. от - ентеқлебыстрое, поспешное движение
burınǵı	бурынғы	давнишний; ен қыйын
eqgezerdey	еқгезердей	очень - крупный
eciresiw	ециресиў	и. д. - от еқиресрыдание (группы людей)
eqiret-	еқирет-	понуд. от ецире- вы
eqiretiw	еқиретиў	и. д. от ецирет
enirsw	енирсў	и. д. от ецире- горь
eqkey-	еқкей-	1) нагибаться, накло
eqkeydi	еқкейди	солнце склонилось к - западу; 5) кланяться
eckeyiw	ецкейиў	и. д. от еқкей
eckeytiw	ецкейтиў	и. д. от - едкейт-.'
edkildew	едкилдеў	и. д. от сдкилдевсхлйпывание. - едее - 1) часть спины между ло
edteriliw	едтерилиў	и. д. от - едтерилтолкани,е, сталкивание; вталки
edteriw	едтериў	и. д. от едтер
juwırıp	жуўырып	журеди он растерянно - бегает; он растерянно мечется
eriniw	ериниў	и. д. о т ерин
erinlestiriw	еринлестириў	и. д. от еринлестир- лабиализация
erisiw	ерисиў	и. д. от ерис- достиже
eristiriw	еристириў	и. д. от еристирспосббствование достижению че
qaytpas	қайтпас	ерлик беззаветная храб - рость; 2) подвиг; эскерий ерлик
ersili-qarsılı	ерсили-қарсылы	1) туда-сюда
qár	қәр	ранняя весна; ерте келдиқ
erteq	ертеқ	1) завтра; куни ертеқ
qaytıp	қайтып	келди на другой день он
er-toqım	ер-тоқым	собир. верховая - сбруя {букв, седлб-потнйк)
JIǴILDI	ЖЫҒЫЛДЫ	он - упал, потеряв со
quw	қуў	жерде балық журе ме - екен?
qa	қа	ақша өткер-перечйслить день
beriw-saylaw	бериў-сайлаў	жыйналысы отчёт
wel	ўел	погов. у несчитающего всё - цело; 2) причислять, прибав
esaplanıw	есапланыў	и. д. от - есаплан- - 1) счёт, подсчйтывание, подсчёт;
esaplastırıw	есапластырыў	и. д. от - есапластыр-.^
esaplasıw	есапласыў	и. д. от - есаплас- - 1) оказание помощи при счёте
esaplatıw	есаплатыў	и. д. от - есаплат
esaplaw	есаплаў	и. д. от - есапла- - 1)
esap-sanaq	есап-санақ	соби р. всякий - учёт;
eseqkirew	есеқкиреў	и. д. от - есенкире- - 1) о с л а б л е н и е ; 2) п о д а в л е н н о е
eserleniw	есерлениў	и. д. от есерлен-. - есерлик - 1) сумасбродство, лег
esersoq	есерсоқ	безрассудный - человек
esersoqlıq	есерсоқлық	безрассудство
qattı	қатты	жаппа - поел. = не плюй
SIZIQ	СЫЗЫҚ	спиральная - линия; 2)
esiriw	есириў	и. д. от - есир- - 1) опья
esiriwshilik	есириўшилик	I) пьянство; 2)
dostıq	достық	ескиси - жақсы /госл.^ста
eski-quskı	ески-қускы	см. ески-тусқы
eski-tusqı	ески-тусқы	хлам, рухлядь, ба
JILQI	ЖЫЛҚЫ	е - ти к о н и н а ; сом е т м я
QOYDI	ҚОЙДЫ	етейген сод соям ы з б а
et-metiq	ет-метиқ	бар - ма? есть ли у тебя
qayda	қайда	или еш бир жерде - нигде;
jabaǵı	жабағы	I жеребёнок в возрасте
jabaǵılı	жабағылы	I; жабағылы байтал
jabayılıq	жабайылық	1) варварство; 2)
jabuwlaw	жабуўлаў	и. д. от жабуўлапокрывание - попоной {лошади
jabuwlı	жабуўлы	с - попоной, покрытый
jabuwsız	жабуўсыз	без - попоны, не по
jabıǵıw	жабығыў	и. д. от - жабық- - 1) истощение; 2) уныние; чувство
jabıq	жабық	I 1) прям, и перен
jabıq-	жабық-	1) худеть, истощаться;
jabıqqan	жабыққан	1) исхудалый, ис
jabıqtır-	жабықтыр-	понуд. от - жабық- - 1) истощать, изнурять; 2) перен
jabılıw	жабылыў	и. д. от - жабыл
jabınıw	жабыныў	и. д. от жабын-. - жабыцқы: қабағы жабыцқы у
jabırqa-	жабырқа-	унывать, быть в уг
jabırqan-	жабырқан-	возвр. от жабырқа-. - жаб — 206
jabırqaqqı	жабырқаққы	унылый, невесё
jabısqan	жабысқан	шалбар брюки в об - тяжку; <> қолдан келмес иске
jabısqaq	жабысқақ	I 1) лйпкий, клей
jabısqaqlıq	жабысқақлық	1) липкость
jabısqısh	жабысқыш	1) легко прилипа
qapı	қапы	жабыусыз қалмасын дверь
boyındaǵı	бойындағы	береговой; тециз жа
ǵasındaǵı	ғасындағы	артиллерия берего
jaǵal-jaǵal	жағал-жағал	всё лицо в грязй. - жағала- - 1) пришивать во
jaǵalasıw	жағаласыў	и. д. от - жагаласдрака, схватка
jaǵalaw	жағалаў	и. д. от - жагала- - 1) пришивание воротника; 2)
jaǵalawshı	жағалаўшы	идущий вдоль бе - рега, по краю чего-л
jaǵallaw	жағаллаў	и. д. от жагаллазагрязнённе
jaǵallı	жағаллы	грязный, запятнан
jaǵalsız	жағалсыз	чйстый, незапятнан
jaǵaltay	жағалтай	кобчик (птица)
jaǵday	жағдай	удобная обстановка для - работы; 2) происшествие, приключёние; басыцнан өткен жагдаиларды аит- рассказывать о
jaǵdaylan-	жағдайлан-	страд, от жаг
jaǵdaylas-	жағдайлас-	вэаимн. от жаг
jaǵdaylasmw	жағдайласмў	и. д. от жагдайлас-. - жагдайлы - 1) удобный; / удоб
jaǵdaypazlıq	жағдайпазлық	1) ссылка на
waqıt	ўақыт	неудобное - время; 2) не
jaǵdaysızlanıw	жағдайсызланыў	и. д. от жаг - дайсызлан- - 1) чувство неудоб
jaǵdaysızlıq	жағдайсызлық	1) неудобство;
jaǵızaq	жағызақ	мед. - волчанка
jaǵızaqlı	жағызақлы	больной волчан
jaǵılıw	жағылыў	и. д, от жағыл
jaǵımlı	жағымлы	приятный, привлека
jaǵımlıq	жағымлық	I рассчйтанный на
jaǵımlılıq	жағымлылық	привлекатель - ность; симпатия, расположение
jaǵımpaz	жағымпаз	льстец, подхалим
jaǵımpazlıq	жағымпазлық	лесть, прислуж
jaǵımsız	жағымсыз	неприятный, не
jaǵımsızlan-	жағымсызлан-	быть - неприятны.м, непривлекательным
jaǵımsızlıq	жағымсызлық	непривлекатель - ность; отсутствие симпатии, рас
jaǵımtallan-	жағымталлан-	см. - жағын- 2
jaǵın-	жағын-	1) воэбр. о т ж ақ-III на
jaǵındır-	жағындыр-	п он уд. от - жағын- - 1) намазывать, натирать; за
jaǵınıw	жағыныў	и. д. от - жағын- - 1) намазывание, натирание; 2)
jaǵınıshlı	жағынышлы	привлекательный
jaǵınıshlılıq	жағынышлылық	привлекатель
jaǵıslıq	жағыслық	место, подходящее
jaǵısshı	жағысшы	перевозчик,лодочник
jaǵıw	жағыў	I и. д. от жақ- I
jaǵıwlı	жағыўлы	I горящий, зажжён
jaǵıwshı	жағыўшы	1) истопник; 2) ко
jadaǵay	жадағай	1) одинарный; жада
ǵay	ғай	шапан халат без - подкладки;
jadaw	жадаў	худой, истощённый, из
jadawla-	жадаўла-	истощить, изнурйть
jadawlaw	жадаўлаў	1) и. д. от жадаўлаистощёние; 2) худенький, поху
jadawraq	жадаўрақ	худощавый. - жадыра- - 1) рассеяться; про
jıyrıǵın	жыйрығын	жаз- разгладить на
jazaǵa	жазаға	тартыл- а) быть наказан
awırı	аўыры	самое тяжкое - наказание;
jazalanıw	жазаланыў	и. д. от жазалан
jazalanıwshı	жазаланыўшы	наказанный. - жазалат-пон1/с). от жазала- за
jazalaw	жазалаў	и. д. от - жазаланаказание; жазалаў экспедициясы карательная экспедйция
jazasızlıq	жазасызлық	безнаказанность
jazatayımlıq	жазатайымлық	случайность
jazǵı	жазғы	летний; жазғы кийим
jazǵısh	жазғыш	умеющий - писать, хо
jazdırıw	жаздырыў	1 и .д . от жаздыр- I
ǵıla	ғыла	жазлады он чуть не упал
jazlıq	жазлық	яровой; жазлық бийдай яровая пшеница
jazlıqlastırıw	жазлықластырыў	яровизация
jazıq	жазық	I вина, проступок; са
jazıqla-	жазықла-	обвинять, осуждать
jazıqlaw	жазықлаў	и. д. от - жазықлаобвинёние, осуждёние кого-чего-л
jazıqlı	жазықлы	виноватый, прови
jazıqlıq	жазықлық	равнина
jazıqlılıq	жазықлылық	виновность
jazıqsız	жазықсыз	безвинный, невин
jazıqshı	жазықшы	см. жазықлы
jazıqshıl	жазықшыл	с.н. жазықлы. - жазы-қысы - 1) зимой и лётом;
jazılısıw	жазылысыў	и. д. о/п жазылыс
jazılıw	жазылыў	I и. д. от жазыл- I
jazılıwlı	жазылыўлы	написанный
jazılıwshı	жазылыўшы	подпйсчик; га
jazıcqı	жазыцқы	немного распрямив - шийся; <> жазыцқы бет а) широ
jazıw-sızıw	жазыў-сызыў	а) писание; б) по
jazıw	жазыў	П и.д. от - жаз- II 1) раз
jazıwsız	жазыўсыз	без - надписи; / не
jazıwshı	жазыўшы	пйшущий; / писа
jazıwshılıq	жазыўшылық	профессия или
jaytastırıw	жайтастырыў	и. д. от жайтас - тыр- - 1) устраивание, помеще
jaytasıw	жайтасыў	и. д. от - жайтас- - 1) устройство, размещение; 2)
jaydaq	жайдақ	мин- или жайдақ - атқа
partiyanıq	партиянық	ишки демократиясын
jaylanıw	жайланыў	и. д. от. жайлан
jaylastırıw	жайластырыў	и. д. от жай
jaylasıw	жайласыў	и. д. от жайлас-. - жайлат- I п он уд. от жайла- I
jaylaw	жайлаў	I 1) и. д. от жайла- I;
jaylawları	жайлаўлары	высокогорные паст
jaylawlas	жайлаўлас	имеющие общее лет
jaylawlas-	жайлаўлас-	иметь ббщее лет
jaylawshı	жайлаўшы	обитатель, жйтель
shıqtı	шықты	(на нёбе) засверкали звёз
jatqan	жатқан	затлар разбросанные вёщи. - жайнаган I прям, и перен
jaypaq	жайпақ	см. жалпақ
jayparaxatlıq	жайпарахатлық	спокойствие
jaypaw	жайпаў	и. д. от - жайпа- - 1) потоплёние; 2) потрава
jaypawıt	жайпаўыт	пологий - спуск; по
jaypawıtla-	жайпаўытла-	сдёлать что-л. - плоским, пологим
jaypawıtlı	жайпаўытлы	имёющий поло
jaypawıtlıq	жайпаўытлық	ровное пологое
jayraq	жайрақ	тихо, потихоньку
jayraw	жайраў	и. д. от жайра-. - жайсыз - 1) неудобный, непод
jaysızlıq	жайсызлық	1) неудобство; 2)
jaytaqlaw	жайтақлаў	и. д. от жайтадла-. - жайша: жайша да так себе
jayshılıq	жайшылық	I) спокойствие, ти
jayıq	жайық	I широкий; аўзы жаЙЫҚ у него широкий рот
Jayıq	Жайық	II ист. река Яйк
jayılǵan	жайылған	1) разостланный; рас
malǵa	малға	жайылым жоқ жер не
jayılıw	жайылыў	I и. д. от жайыл- I
jayıwlı	жайыўлы	1) разостланный;
jayıwshı	жайыўшы	I 1) расстилающий;
jaǵın	жағын	таян- подперёть ладонью - подбородок, щеку
jaq	жақ	II 1) сторона, бок; сол
jaqlyovaya	жақлёвая	сторона; он жақ пра
jaǵı	жағы	эта сторона - дёла; мен сен
jaǵında	жағында	около; уй жағында
kinoǵa	киноға	барасац - ба? — жақ, бармайман ты пойдёшь в кино?
jaq-	жақ-	I 1) нравиться; ол маған
jaqtı	жақты	он мне - понравился; майдай жағады очень нравится;
jaqpas	жақпас	погов. правда глаза ко - лет (букв, правдивое с.пбво род
jaqlawshı	жақлаўшы	сторонник, защит
jakpaytuǵın	жакпайтуғын	несимпатичный
jakpawshılıq	жакпаўшылық	антипатия
jaqsartıw	жақсартыў	и. д. о т жак
jaksartıw	жаксартыў	улучшение породы
jaqsıla-	жақсыла-	1) одобрять; 2) улуч
jaksılaw	жаксылаў	и. д. от - жаксыла- - 1) одобрение; 2) улучшение
jaqsılıqlı	жақсылықлы	содержащий в
jaqtıla-	жақтыла-	освещать, делать
jaqtılan-	жақтылан-	возвр. от - жақтылаосвещаться, становйться свет
jaqtılandır-	жақтыландыр-	п он уд. от жақ
jaqtılanıw	жақтыланыў	и. д. от жактылан
jaqtılat-	жақтылат-	п онуд. о т жақтылазаставить - освещать, делать свет
jaqtılıq	жақтылық	свет; / светлый
jaqtır-	жақтыр-	I пон уд. от жақ- I
jaqtırıw	жақтырыў	I и. д. от жақтыр- I
jaqsha	жақша	скобки; жақша ашыў
jaqın	жақын	ара блйзкое расстоя - ние; жақын қалдық мы уже
jaqındaǵı	жақындағы	1) блйзкий, блйжнпй; близлежащий; 2) недавний;
jaqın-juwıq	жақын-жуўық	собир. - родня
jaqınla-	жақынла-	быть - около, быть
jaqınlaǵanda	жақынлағанда	приближаясь к - городу; тац атыўға жақынлады
jaqınlas-	жақынлас-	езаим н. от жа
qınla-	қынла-	приближаться друг к - другу, становйться рядом; сбли
jaqınlastır-	жақынластыр-	п он уд. от жа
qınlas-	қынлас-	приближать друг к дру - гу; сближать
jaqınlasıw	жақынласыў	и. д. от жақынлас- приближение друг к - другу;
jaqınlat-	жақынлат-	п он уд. от жақынла- подпускать к - себе; приблйзить; жанына жақынлатпайды
jaqınlattır-	жақынлаттыр-	пон уд. от жа
qınlat-	қынлат-	заставить подпускать к - себе; заставить приблизить
jaqınlatıl-	жақынлатыл-	ст - рад, от жа
jaqınlatıw	жақынлатыў	и. д. от жақынлат- - приближение
jaqınlaw	жақынлаў	и. д. от жақынлаприближёние
jaqınlawshılıq	жақынлаўшылық	приближение
jaqınshıl	жақыншыл	человек, поддер
jaqınshılıq	жақыншылық	см. жақынлық. - жал I грива; загривок; ыйық
barmaǵın	бармағын	жалайды погое. кто
jalaq	жалақ	1) трещина на губах; 2)
jalaq-jalaq	жалақ-жалақ	грязный {напр. о
jalaqla-	жалақла-	см. жалацла
jalaqlat-	жалақлат-	п онуд. от - жалақла-;
qabat	қабат	одинарный, в один слой;
jalacashlaw	жалацашлаў	и. д. от жала
jalacashlıq	жалацашлық	оголённость, об
jalacbaslaw	жалацбаслаў	и. д. от жалац
jalacǵat	жалацғат	одинарный; жалац
ǵat	ғат	пальто демисезонное пальто. - жалац-жалац - 1) вертлявый; 2)
jalacqayalıq	жалацқаялық	1) подхалимство;
jalaclaǵan	жалацлаған	бойкий, растороп
jalanlaw	жаланлаў	и. д. от жаланла
jalataylıq	жалатайлық	мошенничество
jalaxorlıq	жалахорлық	склонность, при
jalbıraqla-	жалбырақла-	1) выказывать
jalbıraqlap	жалбырақлап	қалдыц? что ты ко
jalǵa-	жалға-	1) надставлять {напр
jalǵamaysac	жалғамайсац	ты никогда мне
jalǵama	жалғама	связанный
jalǵamay	жалғамай	составленный из об - резков {напр. о верёвке)
jalǵamalı	жалғамалы	1) надставленный;
ǵamalı	ғамалы	тиллер агглютинативные
jalǵannan	жалғаннан	притворно; жалған яр
jalǵan-	жалған-	возвр.-ст - рад, от жал
ǵa-	ға-	1) надставляться; быть над
jalǵanlıq	жалғанлық	ложь; / ложный;
jalǵanshı	жалғаншы	лгун, лжец, обманщик;/обманчивый, ложный; жал
ǵanshı	ғаншы	болма- сдержать сло - во {букв, не оказаться лжецом)
jalǵanshılıq	жалғаншылық	см. жалғанлық
jalǵas-	жалғас-	взаим н. от - жалра- - 1) надставлять вмест е с кем -л
jalǵastır-	жалғастыр-	понуд. от жалғас-. - жал — 219 — - ^ к а л
jalǵasıq	жалғасық	помощь
jalǵat-	жалғат-	понуд. от - жалға- - 1)
